 0.3981E-01 0.3499E-04 0.2125E-04 0.1286E-04 0.7769E-05 0.4683E-05 0.2825E-05 
 0.6310E-01 0.4021E-04 0.2437E-04 0.1473E-04 0.8888E-05 0.5359E-05 0.3229E-05 
 0.1000E+00 0.4555E-04 0.2757E-04 0.1664E-04 0.1004E-04 0.6047E-05 0.3645E-05 
 0.1585E+00 0.5052E-04 0.3051E-04 0.1841E-04 0.1110E-04 0.6692E-05 0.4031E-05 
 0.2512E+00 0.5421E-04 0.3272E-04 0.1972E-04 0.1189E-04 0.7164E-05 0.4318E-05 
 0.3981E+00 0.5537E-04 0.3347E-04 0.2018E-04 0.1216E-04 0.7323E-05 0.4416E-05 
 0.6310E+00 0.5395E-04 0.3253E-04 0.1961E-04 0.1181E-04 0.7115E-05 0.4290E-05 
 0.9800E+00 0.5354E-04 0.3229E-04 0.1945E-04 0.1172E-04 0.7062E-05 0.4255E-05 
 0.1000E+13 
 0.1000E-03 0.2225E-06 
 0.1585E-03 0.2624E-06 
 0.2512E-03 0.3090E-06 
 0.3981E-03 0.3635E-06 
 0.6310E-03 0.4271E-06 
 0.1000E-02 0.5013E-06 
 0.1585E-02 0.5877E-06 
 0.2512E-02 0.6880E-06 
 0.3981E-02 0.8041E-06 
 0.6310E-02 0.9386E-06 
 0.1000E-01 0.1094E-05 
 0.1585E-01 0.1274E-05 
 0.2512E-01 0.1475E-05 
 0.3981E-01 0.1703E-05 
 0.6310E-01 0.1947E-05 
 0.1000E+00 0.2196E-05 
 0.1585E+00 0.2429E-05 
 0.2512E+00 0.2602E-05 
 0.3981E+00 0.2660E-05 
 0.6310E+00 0.2583E-05 
 0.9800E+00 0.2564E-05 
